"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"143","SPTA1","KMT2D",0.01096841365999,2.3442042762135,1334,56,13,132,0.022042631953356,"Co_Occurence","KMT2D, SPTA1","13/188"
"144","RB1","PRKDC",0.0113791148483302,2.75235097271241,1391,64,9,71,0.0227218746971451,"Co_Occurence","PRKDC, RB1","9/135"
"145","KMT2C","ATM",0.0118712264135304,2.73190282120945,1390,61,9,75,0.0235540206617667,"Co_Occurence","ATM, KMT2C","9/136"
"146","NF1","KEAP1",0.0131423551349149,2.86990323722391,1402,61,8,64,0.0259115834678922,"Co_Occurence","KEAP1, NF1","8/125"
"147","KEAP1","FAM135B",0.0155854217616414,2.59634240441399,1386,80,9,60,0.0305357009436548,"Co_Occurence","FAM135B, KEAP1","9/140"
"148","KEAP1","APC",0.0166224119749355,2.73572942699243,1399,67,8,61,0.0323645092969929,"Co_Occurence","APC, KEAP1","8/128"
"149","FAT1","PRKDC",0.0167736797210544,2.73039210712051,1399,65,8,63,0.0324568106057555,"Co_Occurence","FAT1, PRKDC","8/128"
"150","CDKN2A","FAT3",0.0183179527108993,2.12424633541086,1320,138,14,63,0.0352268321363449,"Co_Occurence","CDKN2A, FAT3","14/201"
"151","ERBB2","RBM10",0.0198982102894363,0.275556171376894,1279,172,3,81,0.0380317474951,"Mutually_Exclusive","ERBB2, RBM10","3/253"
"152","FAT1","TP53",0.0203881144215483,1.81732370909417,750,714,45,26,0.0387312204056768,"Co_Occurence","FAT1, TP53","45/740"
"153","FAT1","CDKN2A",0.0226222780319992,2.56492447775005,1395,69,8,63,0.0427157817824759,"Co_Occurence","CDKN2A, FAT1","8/132"
"154","KRAS","FAM135B",0.0276030256716029,1.92761135463786,1278,71,18,168,0.0518074806148703,"Co_Occurence","FAM135B, KRAS","18/239"
"155","RB1","LRP2",0.0288669314397524,2.27253317975783,1369,86,10,70,0.0538562153726725,"Co_Occurence","LRP2, RB1","10/156"
"156","RB1","FAT4",0.0302214255745939,2.24459272128652,1368,87,10,70,0.0560486379350778,"Co_Occurence","FAT4, RB1","10/157"
"157","SETD2","FAT1",0.0339743895357913,2.51338001023571,1403,64,7,61,0.0626371488491728,"Co_Occurence","FAT1, SETD2","7/125"
"158","KRAS","RBM10",0.0361204957293371,1.59625760325313,1204,145,30,156,0.0662032546358818,"Co_Occurence","KRAS, RBM10","30/301"
"159","SETD2","FAT3",0.0369331870254149,2.02992814122611,1327,140,12,56,0.0672980813145316,"Co_Occurence","FAT3, SETD2","12/196"
"160","NF1","SMARCA4",0.038792892784507,2.28571765290927,1377,86,9,63,0.0702769796820779,"Co_Occurence","NF1, SMARCA4","9/149"
"161","APC","EGFR",0.0415627721129049,0.614143295857401,602,858,35,40,0.0744508952633156,"Mutually_Exclusive","APC, EGFR","35/898"
"162","KEAP1","PRKDC",0.0415733799150354,2.39293514732433,1400,66,7,62,0.0744508952633156,"Co_Occurence","KEAP1, PRKDC","7/128"
"163","CDKN2A","STK11",0.0423116684590496,2.21930542855296,1376,82,9,68,0.0753412899911852,"Co_Occurence","CDKN2A, STK11","9/150"
"164","APC","KRAS",0.0437780286805639,1.88364072195768,1289,171,15,60,0.0775106740094971,"Co_Occurence","APC, KRAS","15/231"
"165","APC","SMARCA4",0.0450415345774602,2.17714163354421,1374,86,9,66,0.0792984763687681,"Co_Occurence","APC, SMARCA4","9/152"
"166","PIK3CA","RBM10",0.0456568949486952,1.76762588592523,1282,158,17,78,0.079931538775727,"Co_Occurence","PIK3CA, RBM10","17/236"
"167","APC","LRP2",0.0469403405666516,2.15047731498609,1373,87,9,66,0.0817206486188224,"Co_Occurence","APC, LRP2","9/153"
"168","KMT2C","KMT2D",0.0498346523518813,2.39654208476041,1390,61,8,76,0.086278830249102,"Co_Occurence","KMT2C, KMT2D","8/137"
"169","SPTA1","RBM10",0.0531757283490943,1.62689462574644,1239,151,24,121,0.0915560061106997,"Co_Occurence","RBM10, SPTA1","24/272"
"170","KMT2D","STK11",0.0603895839410561,2.18373220091132,1383,83,8,61,0.103406821816877,"Co_Occurence","KMT2D, STK11","8/144"
"171","NF1","KRAS",0.0625262053477727,1.81086148633427,1291,172,14,58,0.106481957336125,"Co_Occurence","KRAS, NF1","14/230"
"172","FAT3","APC",0.0751042753909969,1.79505401821006,1320,63,12,140,0.127209138534886,"Co_Occurence","APC, FAT3","12/203"
"173","APC","ATM",0.0779925724834535,2.28096081693336,1397,63,7,68,0.131389104588028,"Co_Occurence","APC, ATM","7/131"
"174","APC","FAT1",0.0799542525490272,2.24379088692515,1396,64,7,68,0.133619522359196,"Co_Occurence","APC, FAT1","7/132"
"175","KMT2C","SPTA1",0.0803532375455738,1.82862868033154,1319,132,13,71,0.133619522359196,"Co_Occurence","KMT2C, SPTA1","13/203"
"176","NF1","PIK3CA",0.0805992958870672,1.97587313217274,1376,87,8,64,0.133619522359196,"Co_Occurence","NF1, PIK3CA","8/151"
"177","LRP1B","RB1",0.0813486563007219,1.6291617362858,1235,62,18,220,0.134150158807259,"Co_Occurence","LRP1B, RB1","18/282"
"178","ERBB2","KRAS",0.0846383534285699,0.444262117008152,1270,181,5,79,0.138842443288336,"Mutually_Exclusive","ERBB2, KRAS","5/260"
